Qualifier	Qualifier ID	Values	Mapped Terms
days since last diarrheal episode	EuPathDB_0009055	NA	:::UNDEF:::
percentage of diarrheal samples for campylobacter-pos	EuPathDB_0009051	NA	:::UNDEF:::
percentage of surveillance stools for campylobacter-pos	EuPathDB_0009053	NA	:::UNDEF:::
mean severity of campylobacter-neg diarrheal episodes	EuPathDB_0009044	NA	:::UNDEF:::
mean severity of diarrheal episodes	EuPathDB_0009046	NA	:::UNDEF:::
mean duration of campylobacter-neg diarrheal episodes (days)	EuPathDB_0009041	NA	:::UNDEF:::
mean duration of campylobacter-pos diarrheal episodes (days)	EuPathDB_0009042	NA	:::UNDEF:::
number of campylobacter-neg diarrheal episodes	EuPathDB_0009047	NA	:::UNDEF:::
number of campylobacter-pos diarrheal episodes	EuPathDB_0009048	NA	:::UNDEF:::
mean duration of diarrheal episodes (days)	EuPathDB_0009043	NA	:::UNDEF:::
mean severity of campylobacter-pos diarrheal episodes	EuPathDB_0009045	NA	:::UNDEF:::
laz 1 month after sampling	EuPathDB_0009036	NA	:::UNDEF:::
laz 3 months after sampling	EuPathDB_0009037	NA	:::UNDEF:::
antibiotic exposure	EUPATH_0000580	n	No
antibiotic exposure	EUPATH_0000580	y	Yes
colony tetracycline	EUPATH_0000583	12/30/1899	No
colony tetracycline	EUPATH_0000583	12/31/1899	Yes
diet	EUPATH_0000584	bd	breast milk
diet	EUPATH_0000584	eb	exclusively breast milk
diet	EUPATH_0000584	fd	milk formula
diet (by month)	EUPATH_0000585	bd_0	breast milk - month 0
diet (by month)	EUPATH_0000585	bd_1	breast milk - month 01
diet (by month)	EUPATH_0000585	bd_2	breast milk - month 02
diet (by month)	EUPATH_0000585	bd_3	breast milk - month 03
diet (by month)	EUPATH_0000585	bd_4	breast milk - month 04
diet (by month)	EUPATH_0000585	bd_5	breast milk - month 05
diet (by month)	EUPATH_0000585	bd_6	breast milk - month 06
diet (by month)	EUPATH_0000585	bd_7	breast milk - month 07
diet (by month)	EUPATH_0000585	bd_8	breast milk - month 08
diet (by month)	EUPATH_0000585	bd_9	breast milk - month 09
diet (by month)	EUPATH_0000585	bd_10	breast milk - month 10
diet (by month)	EUPATH_0000585	bd_11	breast milk - month 11
diet (by month)	EUPATH_0000585	bd_12	breast milk - month 12
diet (by month)	EUPATH_0000585	bd_13	breast milk - month 13
diet (by month)	EUPATH_0000585	bd_14	breast milk - month 14
diet (by month)	EUPATH_0000585	bd_15	breast milk - month 15
diet (by month)	EUPATH_0000585	bd_16	breast milk - month 16
diet (by month)	EUPATH_0000585	bd_17	breast milk - month 17
diet (by month)	EUPATH_0000585	bd_18	breast milk - month 18
diet (by month)	EUPATH_0000585	bd_20	breast milk - month 20
diet (by month)	EUPATH_0000585	bd_21	breast milk - month 21
