name	description	sourcemtoverride	samplemtoverride	run_prefix_prep	region	title	host_common_name	host_subject_id	body_site	body_product	body_habitat	sample_type	Site	BodyType	Days post-infection	Treatment	Group	Cage ID	Exp_Cage ID	Lesion score	Thickness	Cured	No. Treatment	Lesion Size	Lesion Duration	ExtractionDate	DTH	host_sex	env_feature
10103				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	1	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		1		0	0.2								ENVO:animal-associated habitat
10104				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	2	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		1		0	0.2								ENVO:animal-associated habitat
10105				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	3	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		1		0	0.2								ENVO:animal-associated habitat
10106				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	4	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		1		0	0.2								ENVO:animal-associated habitat
10107				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	5	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		1		0	0.2								ENVO:animal-associated habitat
10108				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	6	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		2		0	0.2								ENVO:animal-associated habitat
10109				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	7	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		2		0	0.2								ENVO:animal-associated habitat
10110				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	8	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		2		0	0.2								ENVO:animal-associated habitat
10111				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	9	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		2		0	0.2								ENVO:animal-associated habitat
10112				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	10	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		2		0	0.2								ENVO:animal-associated habitat
10113				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	11	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		3		0	0.2								ENVO:animal-associated habitat
10114				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	12	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		3		0	0.2								ENVO:animal-associated habitat
10115				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	13	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		3		0	0.2								ENVO:animal-associated habitat
10116				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	14	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		3		0	0.2								ENVO:animal-associated habitat
10117				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	15	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		3		0	0.2								ENVO:animal-associated habitat
10118				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	16	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		4		0	0.2								ENVO:animal-associated habitat
10119				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	17	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		4		0	0.2								ENVO:animal-associated habitat
10120				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	18	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		4		0	0.2								ENVO:animal-associated habitat
10121				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	19	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		4		0	0.2								ENVO:animal-associated habitat
10122				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	20	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		4		0	0.2								ENVO:animal-associated habitat
10123				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	21	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		5		0	0.2								ENVO:animal-associated habitat
10124				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	22	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		5		0	0.2								ENVO:animal-associated habitat
10125				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	23	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		5		0	0.2								ENVO:animal-associated habitat
10126				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	24	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		5		0	0.2								ENVO:animal-associated habitat
10127				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	25	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		5		0	0.2								ENVO:animal-associated habitat
10128				MiSeq_1	V4	Host immune status and Leishmania induced dysbiosis	mouse	26	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		6		0	0.2								ENVO:animal-associated habitat
