name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_subject_id	latitude	longitude	psn	region	sample_type	sequencecenter	title	host_common_name
1927.SRS011157.SRX020659.SRR045036	Sample 1927.SRS011157.SRX020659.SRR045036			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700014956	39	-77	700014956	V1-V3	Stool	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011157.SRX020661.SRR044808	Sample 1927.SRS011157.SRX020661.SRR044808			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700014956	39	-77	700014956	V1-V3	Stool	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011159.SRX020663.SRR045145	Sample 1927.SRS011159.SRX020663.SRR045145			UBERON:oral cavity	UBERON:saliva	UBERON:mouth	97	urban biome	human-associated habitat		USA	700014968	39	-77	700014968	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011159.SRX020667.SRR045224	Sample 1927.SRS011159.SRX020667.SRR045224			UBERON:oral cavity	UBERON:saliva	UBERON:mouth	97	urban biome	human-associated habitat		USA	700014968	39	-77	700014968	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011161.SRX020659.SRR045028	Sample 1927.SRS011161.SRX020659.SRR045028			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700014973	39	-77	700014973	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011161.SRX020661.SRR044801	Sample 1927.SRS011161.SRX020661.SRR044801			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700014973	39	-77	700014973	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011163.SRX020537.SRR045380	Sample 1927.SRS011163.SRX020537.SRR045380			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	human-associated habitat		USA	700014976	39	-77	700014976	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011163.SRX020570.SRR045452	Sample 1927.SRS011163.SRX020570.SRR045452			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	human-associated habitat		USA	700014976	39	-77	700014976	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011165.SRX020659.SRR045005	Sample 1927.SRS011165.SRX020659.SRR045005			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	human-associated habitat		USA	700014979	39	-77	700014979	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011165.SRX020661.SRR044777	Sample 1927.SRS011165.SRX020661.SRR044777			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	human-associated habitat		USA	700014979	39	-77	700014979	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011167.SRX020659.SRR045052	Sample 1927.SRS011167.SRX020659.SRR045052			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	human-associated habitat		USA	700014982	39	-77	700014982	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011167.SRX020661.SRR044828	Sample 1927.SRS011167.SRX020661.SRR044828			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	human-associated habitat		USA	700014982	39	-77	700014982	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011169.SRX020663.SRR045141	Sample 1927.SRS011169.SRX020663.SRR045141			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700014985	39	-77	700014985	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011169.SRX020667.SRR045220	Sample 1927.SRS011169.SRX020667.SRR045220			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700014985	39	-77	700014985	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011171.SRX020515.SRR045363	Sample 1927.SRS011171.SRX020515.SRR045363			UBERON:oral cavity	UBERON:mucus	UBERON:throat	97	urban biome	human-associated habitat		USA	700014988	39	-77	700014988	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011171.SRX020537.SRR045382	Sample 1927.SRS011171.SRX020537.SRR045382			UBERON:oral cavity	UBERON:mucus	UBERON:throat	97	urban biome	human-associated habitat		USA	700014988	39	-77	700014988	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011171.SRX020570.SRR047528	Sample 1927.SRS011171.SRX020570.SRR047528			UBERON:oral cavity	UBERON:mucus	UBERON:throat	97	urban biome	human-associated habitat		USA	700014988	39	-77	700014988	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011173.SRX020659.SRR045043	Sample 1927.SRS011173.SRX020659.SRR045043			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700014991	39	-77	700014991	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011173.SRX020661.SRR044818	Sample 1927.SRS011173.SRX020661.SRR044818			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700014991	39	-77	700014991	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011175.SRX020659.SRR044992	Sample 1927.SRS011175.SRX020659.SRR044992			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700014994	39	-77	700014994	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011175.SRX020661.SRR044766	Sample 1927.SRS011175.SRX020661.SRR044766			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700014994	39	-77	700014994	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011177.SRX020659.SRR045018	Sample 1927.SRS011177.SRX020659.SRR045018			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700014997	39	-77	700014997	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011177.SRX020661.SRR047461	Sample 1927.SRS011177.SRX020661.SRR047461			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700014997	39	-77	700014997	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011179.SRX020515.SRR045376	Sample 1927.SRS011179.SRX020515.SRR045376			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700015000	39	-77	700015000	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011179.SRX020537.SRR045397	Sample 1927.SRS011179.SRX020537.SRR045397			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700015000	39	-77	700015000	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011179.SRX020570.SRR045464	Sample 1927.SRS011179.SRX020570.SRR045464			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700015000	39	-77	700015000	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011180.SRX020537.SRR045391	Sample 1927.SRS011180.SRX020537.SRR045391			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700015003	39	-77	700015003	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011180.SRX020570.SRR045459	Sample 1927.SRS011180.SRX020570.SRR045459			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700015003	39	-77	700015003	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011181.SRX020537.SRR045389	Sample 1927.SRS011181.SRX020537.SRR045389			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700015006	39	-77	700015006	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011181.SRX020570.SRR045457	Sample 1927.SRS011181.SRX020570.SRR045457			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700015006	39	-77	700015006	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011182.SRX020537.SRR045378	Sample 1927.SRS011182.SRX020537.SRR045378			UBERON:skin	UBERON:sebum	UBERON:anterior nares	97	urban biome	human-associated habitat		USA	700015009	39	-77	700015009	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011182.SRX020570.SRR045449	Sample 1927.SRS011182.SRX020570.SRR045449			UBERON:skin	UBERON:sebum	UBERON:anterior nares	97	urban biome	human-associated habitat		USA	700015009	39	-77	700015009	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011271.SRX020659.SRR045051	Sample 1927.SRS011271.SRX020659.SRR045051			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700015250	39	-77	700015250	V1-V3	Stool	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011271.SRX020661.SRR044827	Sample 1927.SRS011271.SRX020661.SRR044827			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700015250	39	-77	700015250	V1-V3	Stool	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011273.SRX020659.SRR045049	Sample 1927.SRS011273.SRX020659.SRR045049			UBERON:oral cavity	UBERON:saliva	UBERON:mouth	97	urban biome	human-associated habitat		USA	700015260	39	-77	700015260	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011273.SRX020661.SRR044825	Sample 1927.SRS011273.SRX020661.SRR044825			UBERON:oral cavity	UBERON:saliva	UBERON:mouth	97	urban biome	human-associated habitat		USA	700015260	39	-77	700015260	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011275.SRX020659.SRR044995	Sample 1927.SRS011275.SRX020659.SRR044995			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700015265	39	-77	700015265	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011275.SRX020661.SRR044769	Sample 1927.SRS011275.SRX020661.SRR044769			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700015265	39	-77	700015265	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011277.SRX020515.SRR045360	Sample 1927.SRS011277.SRX020515.SRR045360			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	human-associated habitat		USA	700015268	39	-77	700015268	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011277.SRX020571.SRR045480	Sample 1927.SRS011277.SRX020571.SRR045480			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	human-associated habitat		USA	700015268	39	-77	700015268	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011279.SRX020661.SRR047466	Sample 1927.SRS011279.SRX020661.SRR047466			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	human-associated habitat		USA	700015271	39	-77	700015271	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011279.SRX020662.SRR045406	Sample 1927.SRS011279.SRX020662.SRR045406			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	human-associated habitat		USA	700015271	39	-77	700015271	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011279.SRX020664.SRR045429	Sample 1927.SRS011279.SRX020664.SRR045429			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	human-associated habitat		USA	700015271	39	-77	700015271	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011281.SRX020663.SRR045160	Sample 1927.SRS011281.SRX020663.SRR045160			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	human-associated habitat		USA	700015274	39	-77	700015274	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011281.SRX020667.SRR045239	Sample 1927.SRS011281.SRX020667.SRR045239			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	human-associated habitat		USA	700015274	39	-77	700015274	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011283.SRX020659.SRR045032	Sample 1927.SRS011283.SRX020659.SRR045032			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700015277	39	-77	700015277	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011283.SRX020661.SRR047464	Sample 1927.SRS011283.SRX020661.SRR047464			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700015277	39	-77	700015277	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011285.SRX020571.SRR045492	Sample 1927.SRS011285.SRX020571.SRR045492			UBERON:oral cavity	UBERON:mucus	UBERON:throat	97	urban biome	human-associated habitat		USA	700015280	39	-77	700015280	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011285.SRX020663.SRR045169	Sample 1927.SRS011285.SRX020663.SRR045169			UBERON:oral cavity	UBERON:mucus	UBERON:throat	97	urban biome	human-associated habitat		USA	700015280	39	-77	700015280	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011285.SRX020667.SRR045248	Sample 1927.SRS011285.SRX020667.SRR045248			UBERON:oral cavity	UBERON:mucus	UBERON:throat	97	urban biome	human-associated habitat		USA	700015280	39	-77	700015280	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011287.SRX020662.SRR045413	Sample 1927.SRS011287.SRX020662.SRR045413			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700015283	39	-77	700015283	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS011287.SRX020663.SRR045193	Sample 1927.SRS011287.SRX020663.SRR045193			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700015283	39	-77	700015283	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
